question,text
What is machine learning ?, Machine learning is the discipline where the logic is driven by the data and the data are used for regression
What is supervised learning ?,Supervised learning is done by having labeled data and different features. The labeled data are used to predict which kind of data the next record is
what is clustering ?,Clustering is a 'grouping' of data by one or more features
Who was Adolf Hitler ?,Adolf Hitler was the reigning man in Germany 1933-1945 he was a cruel dictator and ruled with cruelty and as a despot
Who was Franz Kaffka ?,Kaffka was a Czech writer who wrote his books / novels in german language two of the most famous novels are 'Der Prozess' and 'Die Verwandlung'
Who was George Orwell ?,George Orwell was a english writer his most famous work was the novel 1984 about a 'big brother' controlling all the life in society
What is REXX ? ,"REXX is a system interpreter developed originally for IBM Host machines to do scripting like with EXEC, EXEC2 and JCL but much more comfortable written by a IBM fellow it is now a language with several paradigms like object oriented , imperative and partly nearly functional elements  "
What is PL/1 ?,"PL/1 is a high level compiler developed by IBM in the early 1960's. It is influenced by COBOL, FORTRAN and ALGOL. The very first version was a bootstrap compiler written in EXEC "
Who is John McCarthy ?,"John McCarthy (September 4, 1927 – October 24, 2011) was an American computer scientist and cognitive scientist. He was one of the founders of the discipline of artificial intelligence,[1] and part of just a small group of artificial intelligence researchers in the 1950s and 1960s.[2] He co-authored the proposal for the Dartmouth workshop which coined the term ""artificial intelligence"" (AI), led the development of the symbolic programming language family Lisp and had a large influence in the language ALGOL, popularized time-sharing, and created garbage collection.[3]"
Who were the Beatles ?,"The Beatles were an English rock band formed in Liverpool in 1960. The band comprised John Lennon, Paul McCartney, George Harrison and Ringo Starr. They are regarded as the most influential band in popular music and were integral to the development of 1960s counterculture and the recognition of popular music as an art form.[3][4] Rooted in skiffle, beat and 1950s rock 'n' roll, their sound incorporated elements of classical music and traditional pop in innovative ways. "
What is ABBA ?,"ABBA is a legendary Swedish pop group formed in 1972, comprising members Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad. Known for global hits like ""Dancing Queen"" and ""Waterloo,"" they became one of the best-selling acts in music history after winning the 1974 Eurovision Song Contest."
Who was Mozart ?,"Wolfgang Amadeus Mozart[a][b] (27 January 1756 – 5 December 1791) was a Classical composer and musician. He completed more than 800 works in his life—including outstanding examples of most of the genres of his time: symphonies, concertos, chamber music, opera, and choral music."
Who was Beethoven ?,"Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. Mentored during the Classical period, Beethoven's musical style was a key driver of the transition to Romantic music, and the expansion of popular forms such as the symphony and string quartet. His compositions have attracted casual and scholarly interest, and remain among the most performed in the world."
What means Watergate scandal ?,"The Watergate scandal, or simply Watergate, was a political scandal in the United States involving the administration of President Richard Nixon. On June 17, 1972, operatives associated with Nixon's 1972 re-election campaign were caught burglarizing and planting listening devices in the Democratic National Committee headquarters at Washington, D.C.'s Watergate complex. Nixon's efforts to conceal his administration's involvement led to an impeachment process and his resignation in August 1974."
Who was Konrad Zuse ?,Konrad Ernst Otto Zuse (/ˈzuːsə/;[5] German: [ˈkɔnʁaːt ˈtsuːzə]; 22 June 1910 – 18 December 1995) was a German civil engineer
Who developed the first Linux ?,Linus Benedict Torvalds[a] (born 28 December 1969) is a Finnish and American software engineer who is the creator and lead developer of the Linux kernel since 1991. He also created the distributed version control system Git.
What is OS/2 ?,"OS/2 (Operating System/2) is a proprietary computer operating system for x86 and PowerPC based personal computers created and initially developed jointly by IBM and Microsoft, under the leadership of IBM software designer Ed Iacobucci,[2] intended as a replacement for DOS. The first version was released in 1987. A feud between the two companies beginning in 1990 led to Microsoft's leaving development solely to IBM, which continued development on its own. OS/2 Warp 4 in 1996 was the last major upgrade, after which IBM slowly halted the product as it failed to compete against Microsoft's Windows; updated versions of OS/2 were released by IBM until 2001."
What is the so called K&R C ?,"K&R C refers to the original dialect of the C programming language described in the first edition of the book The C Programming Language (1978) by Brian Kernighan and Dennis Ritchie. It was the de facto standard for C before ANSI C (C89) was established, characterized by looser syntax and ""old-style"" function definitions."
What is segment offset RAM addressing ?,"Segment:offset RAM addressing is a memory management technique, primarily used in x86 real mode, that calculates a 20-bit physical address by combining a 16-bit segment (base address) and a 16-bit offset (relative position). The segment is shifted left by 4 bits and added to the offset, allowing 16-bit systems to access 1MB of RAM"
Who was Stalin,Joseph Vissarionovich Stalin[e][f] (né Dzhugashvili;[g] 18 December [O.S. 6 December] 1878 – 5 March 1953) was a Soviet revolutionary and politician who led the Soviet Union from 1924 until his death in 1953. He held office as general secretary of the Communist Party from 1922 to 1952 and as premier from 1941 until his death.
What was the Holocaust ?  ,"The Holocaust was the systematic, state-sponsored persecution and murder of approximately six million European Jews by the Nazi regime and its allies between 1933 and 1945. Initiated by Adolf Hitler, this genocide aimed to eliminate the entire Jewish population, resulting in the killing of nearly seven out of every 10 Jews in Europe."
What is a Hollerith Machine and who developed it ? ,"During the 1930s and 1940s, Hollerith machines were the best data processing devices available. The Nazi regime employed thousands of people in 1933 to 1939 to record national census data onto Hollerith punch cards. The SS used the Hollerith machines during the war to monitor the large numbers of prisoners shipped in and out of concentration camps. The machines were manufactured by DEHOMAG-Deutsche Hollerith Maschinen Gesellschaft or German Hollerith Machine Company, a subsidiary of IBM since 1922."
